trade_date,ts_code,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2018-10-19,000001.SZ,10.76,1.2135,2.738,1.56,7.9673,7.6958,0.8874,1.7465,1.6957,1.4684,1.2639,1717041.1366,1717024.6773,761029.0923,18475362.6298,18475185.5277
2018-10-22,000001.SZ,11.15,1.5408,3.4763,1.83,8.2561,7.9748,0.9196,1.8098,1.7572,1.417,1.2197,1717041.1366,1717024.6773,761029.0923,19145008.6731,19144825.1519
2018-10-23,000001.SZ,10.84,0.9333,2.1058,0.95,8.0265,7.753,0.894,1.7595,1.7083,1.4576,1.2546,1717041.1366,1717024.6773,761029.0923,18612725.9207,18612547.5019
2018-10-24,000001.SZ,11.04,1.0655,2.4039,1.05,8.1746,7.7397,0.8805,1.7919,1.6832,1.4312,1.2319,1717041.1366,1717024.6773,761029.0923,18956134.1481,18955952.4374
2018-10-25,000001.SZ,11.29,0.9814,2.2141,0.92,8.3597,7.915,0.9005,1.8325,1.7214,1.3995,1.2046,1717041.1366,1717024.6773,761029.0923,19385394.4322,19385208.6067
2018-10-26,000001.SZ,11.18,0.7571,1.7082,0.66,8.2783,7.8379,0.8917,1.8147,1.7046,1.4132,1.2165,1717041.1366,1717024.6773,761029.0923,19196519.9072,19196335.8922
2018-10-29,000001.SZ,10.75,0.927,2.0914,0.88,7.9599,7.5364,0.8574,1.7449,1.639,1.4698,1.2651,1717041.1366,1717024.6773,761029.0923,18458192.2185,18458015.281
2018-10-30,000001.SZ,10.9,0.8747,1.9734,0.94,8.071,7.6416,0.8694,1.7692,1.6619,1.4495,1.2477,1717041.1366,1717024.6773,761029.0923,18715748.3889,18715568.9826
2018-10-31,000001.SZ,10.91,0.6713,1.5146,0.73,8.0784,7.6486,0.8702,1.7708,1.6634,1.4482,1.2466,1717041.1366,1717024.6773,761029.0923,18732918.8003,18732739.2293
2018-11-01,000001.SZ,10.83,0.8985,2.0272,1.07,8.0191,7.5925,0.8638,1.7578,1.6512,1.4589,1.2558,1717041.1366,1717024.6773,761029.0923,18595555.5094,18595377.2552
2018-11-02,000001.SZ,11.09,1.2888,2.9078,1.56,8.2116,7.7748,0.8845,1.8,1.6909,1.4247,1.2263,1717041.1366,1717024.6773,761029.0923,19041986.2049,19041803.6713
2018-11-05,000001.SZ,10.92,0.7524,1.6976,0.81,8.0858,7.6556,0.871,1.7725,1.6649,1.4469,1.2454,1717041.1366,1717024.6773,761029.0923,18750089.2117,18749909.4761
2018-11-06,000001.SZ,10.84,0.4285,0.9668,0.48,8.0265,7.5995,0.8646,1.7595,1.6527,1.4576,1.2546,1717041.1366,1717024.6773,761029.0923,18612725.9207,18612547.5019
2018-11-07,000001.SZ,10.81,0.4575,1.0323,0.57,8.0043,7.5785,0.8622,1.7546,1.6482,1.4616,1.2581,1717041.1366,1717024.6773,761029.0923,18561214.6866,18561036.7616
2018-11-08,000001.SZ,10.89,0.4624,1.0433,0.6,8.0636,7.6346,0.8686,1.7676,1.6604,1.4509,1.2489,1717041.1366,1717024.6773,761029.0923,18698577.9776,18698398.7358
2018-11-09,000001.SZ,10.55,0.9489,2.1409,1.4,7.8118,7.3962,0.8415,1.7124,1.6085,1.4976,1.2891,1717041.1366,1717024.6773,761029.0923,18114783.9911,18114610.3455
2018-11-12,000001.SZ,10.56,0.536,1.2093,0.88,7.8192,7.4032,0.8423,1.714,1.6101,1.4962,1.2879,1717041.1366,1717024.6773,761029.0923,18131954.4025,18131780.5923
2018-11-13,000001.SZ,10.54,0.6246,1.4093,1.1,7.8044,7.3892,0.8407,1.7108,1.607,1.4991,1.2903,1717041.1366,1717024.6773,761029.0923,18097613.5798,18097440.0987
2018-11-14,000001.SZ,10.44,0.4509,1.0174,0.74,7.7304,7.3191,0.8327,1.6945,1.5918,1.5134,1.3027,1717041.1366,1717024.6773,761029.0923,17925909.4661,17925737.631
2018-11-15,000001.SZ,10.62,0.525,1.1845,0.87,7.8636,7.4453,0.847,1.7238,1.6192,1.4878,1.2806,1717041.1366,1717024.6773,761029.0923,18234976.8707,18234802.0729
2018-11-16,000001.SZ,10.57,0.6171,1.3923,1.0,7.8266,7.4102,0.8431,1.7156,1.6116,1.4948,1.2867,1717041.1366,1717024.6773,761029.0923,18149124.8139,18148950.8391
2018-11-19,000001.SZ,10.85,0.7926,1.7882,1.44,8.0339,7.6065,0.8654,1.7611,1.6543,1.4562,1.2535,1717041.1366,1717024.6773,761029.0923,18629896.3321,18629717.7487
2018-11-20,000001.SZ,10.57,0.6021,1.3585,1.0,7.8266,7.4102,0.8431,1.7156,1.6116,1.4948,1.2867,1717041.1366,1717024.6773,761029.0923,18149124.8139,18148950.8391
2018-11-21,000001.SZ,10.61,0.388,0.8753,0.65,7.8562,7.4383,0.8462,1.7221,1.6177,1.4892,1.2818,1717041.1366,1717024.6773,761029.0923,18217806.4593,18217631.8262
2018-11-22,000001.SZ,10.55,0.2914,0.6574,0.5,7.8118,7.3962,0.8415,1.7124,1.6085,1.4976,1.2891,1717041.1366,1717024.6773,761029.0923,18114783.9911,18114610.3455
2018-11-23,000001.SZ,10.32,0.4079,0.9203,0.76,7.6415,7.235,0.8231,1.6751,1.5735,1.531,1.3178,1717041.1366,1717024.6773,761029.0923,17719864.5297,17719694.6697
2018-11-26,000001.SZ,10.34,0.3009,0.6788,0.61,7.6563,7.249,0.8247,1.6783,1.5765,1.528,1.3153,1717041.1366,1717024.6773,761029.0923,17754205.3524,17754035.1633
2018-11-27,000001.SZ,10.18,0.4272,0.9638,1.07,7.5378,7.1368,0.8119,1.6523,1.5521,1.5521,1.336,1717041.1366,1717024.6773,761029.0923,17479478.7706,17479311.2149
2018-11-28,000001.SZ,10.28,0.3132,0.7066,0.86,7.6119,7.2069,0.8199,1.6686,1.5674,1.537,1.323,1717041.1366,1717024.6773,761029.0923,17651182.8842,17651013.6826
2018-11-29,000001.SZ,10.2,0.2826,0.6377,0.81,7.5526,7.1508,0.8135,1.6556,1.5552,1.549,1.3333,1717041.1366,1717024.6773,761029.0923,17513819.5933,17513651.7085
2018-11-30,000001.SZ,10.36,0.3464,0.7815,1.0,7.6711,7.263,0.8263,1.6816,1.5796,1.5251,1.3127,1717041.1366,1717024.6773,761029.0923,17788546.1752,17788375.6568
2018-12-03,000001.SZ,10.59,0.6197,1.3982,1.86,7.8414,7.4242,0.8447,1.7189,1.6146,1.492,1.2842,1717041.1366,1717024.6773,761029.0923,18183465.6366,18183291.3326
2018-12-04,000001.SZ,10.59,0.3115,0.7027,0.78,7.8414,7.4242,0.8447,1.7189,1.6146,1.492,1.2842,1717041.1366,1717024.6773,761029.0923,18183465.6366,18183291.3326
2018-12-05,000001.SZ,10.45,0.3387,0.7642,0.9,7.7378,7.3261,0.8335,1.6962,1.5933,1.512,1.3014,1717041.1366,1717024.6773,761029.0923,17943079.8775,17942907.8778
2018-12-06,000001.SZ,10.25,0.3371,0.7606,0.89,7.5897,7.1859,0.8175,1.6637,1.5628,1.5415,1.3268,1717041.1366,1717024.6773,761029.0923,17599671.6502,17599502.9423
2018-12-07,000001.SZ,10.28,0.1981,0.447,0.51,7.6119,7.2069,0.8199,1.6686,1.5674,1.537,1.323,1717041.1366,1717024.6773,761029.0923,17651182.8842,17651013.6826
2018-12-10,000001.SZ,10.17,0.2882,0.6502,0.8,7.5304,7.1298,0.8112,1.6507,1.5506,1.5536,1.3373,1717041.1366,1717024.6773,761029.0923,17462308.3592,17462140.9681
2018-12-11,000001.SZ,10.23,0.1742,0.393,0.59,7.5749,7.1719,0.8159,1.6605,1.5597,1.5445,1.3294,1717041.1366,1717024.6773,761029.0923,17565330.8274,17565162.4488
2018-12-12,000001.SZ,10.24,0.2134,0.4814,0.8,7.5823,7.1789,0.8167,1.6621,1.5613,1.543,1.3281,1717041.1366,1717024.6773,761029.0923,17582501.2388,17582332.6956
2018-12-13,000001.SZ,10.39,0.4606,1.0392,1.9,7.6933,7.284,0.8287,1.6864,1.5841,1.5207,1.309,1717041.1366,1717024.6773,761029.0923,17840057.4093,17839886.3971
2018-12-14,000001.SZ,10.17,0.3067,0.6921,1.15,7.5304,7.1298,0.8112,1.6507,1.5506,1.5536,1.3373,1717041.1366,1717024.6773,761029.0923,17462308.3592,17462140.9681
2018-12-17,000001.SZ,10.29,0.3327,0.7507,1.15,7.6193,7.2139,0.8207,1.6702,1.5689,1.5355,1.3217,1717041.1366,1717024.6773,761029.0923,17668353.2956,17668183.9294
2018-12-18,000001.SZ,10.12,0.3132,0.7066,1.05,7.4934,7.0947,0.8072,1.6426,1.543,1.5613,1.3439,1717041.1366,1717024.6773,761029.0923,17376456.3024,17376289.7343
